ensembl_peptide_id	entrezgene_id
ENSP00000262101	4481
ENSP00000254667	5791
ENSP00000262238	7528
ENSP00000261942	23197
ENSP00000228928	4940
ENSP00000160373	83992
ENSP00000233826	3769
ENSP00000035307	54480
ENSP00000226382	8929
ENSP00000261007	1134
ENSP00000256261	78986
ENSP00000029410	11285
ENSP00000215555	51257
ENSP00000005178	5166
ENSP00000256343	79820
ENSP00000250896	2872
ENSP00000228825	10094
ENSP00000221114	10671
ENSP00000209540	126370
ENSP00000167586	3861
ENSP00000252486	348
ENSP00000196061	5351
ENSP00000216554	1983
ENSP00000222969	8896
ENSP00000258415	1593
ENSP00000216639	7443
ENSP00000222212	59284
ENSP00000258743	3569
ENSP00000252729	59285
ENSP00000261731	64211
ENSP00000222250	27106
ENSP00000261523	6095
ENSP00000256257	79845
ENSP00000218089	10735
ENSP00000256441	92259
ENSP00000160827	3835
ENSP00000247271	4974
ENSP00000247271	101927057
ENSP00000221166	4741
ENSP00000226574	4790
ENSP00000216410	64841
ENSP00000222308	23770
ENSP00000259037	4711
ENSP00000259915	5460
ENSP00000220597	55824
ENSP00000083182	10513
ENSP00000260408	102
ENSP00000253792	47
ENSP00000254584	23647
ENSP00000039007	5009
ENSP00000232003	3273
ENSP00000256452	3568
ENSP00000261439	23216
ENSP00000216366	11154
ENSP00000206249	2099
ENSP00000251642	79132
ENSP00000228534	51561
ENSP00000225916	2648
ENSP00000240652	3375
ENSP00000235329	9927
ENSP00000216487	79890
ENSP00000003084	1080
ENSP00000261413	23107
ENSP00000262209	8989
ENSP00000258034	9038
ENSP00000261890	8766
ENSP00000248076	9002
ENSP00000027335	1015
ENSP00000258930	10518
ENSP00000253669	93323
ENSP00000251020	6299
ENSP00000215375	513
ENSP00000211936	7738
ENSP00000257627	4951
ENSP00000219313	5713
ENSP00000259605	152006
ENSP00000202556	23368
ENSP00000262306	6923
ENSP00000242285	1211
ENSP00000252677	9210
ENSP00000261233	11213
ENSP00000247815	92797
ENSP00000227665	116519
ENSP00000227667	345
ENSP00000236850	335
ENSP00000218249	282808
ENSP00000221444	3743
ENSP00000262013	9043
ENSP00000229922	10486
ENSP00000254878	10247
ENSP00000181839	8621
ENSP00000246337	7389
ENSP00000232974	92999
ENSP00000224784	59
ENSP00000257745	55904
ENSP00000166244	2046
ENSP00000261402	9891
ENSP00000253693	23473
ENSP00000247161	2002
ENSP00000218176	3750
ENSP00000262103	79645
ENSP00000199447	51314
ENSP00000245457	5732
ENSP00000233057	5610
ENSP00000228318	5250
ENSP00000249299	51691
ENSP00000231188	2916
ENSP00000258796	80727
ENSP00000243346	9111
ENSP00000221978	4818
ENSP00000256585	83998
ENSP00000020945	6591
ENSP00000232375	5210
ENSP00000223190	4899
ENSP00000229214	11103
ENSP00000242994	58158
ENSP00000014930	50865
ENSP00000219255	50855
ENSP00000261503	92521
ENSP00000228872	1027
ENSP00000253727	7376
ENSP00000254661	10267
ENSP00000243706	79441
ENSP00000242465	5552
ENSP00000220931	83988
ENSP00000228837	2251
ENSP00000223642	727
ENSP00000025008	9821
ENSP00000225655	5216
ENSP00000252543	25873
ENSP00000170447	23609
ENSP00000257749	60468
ENSP00000240285	157506
ENSP00000011684	55200
ENSP00000228437	11108
ENSP00000243344	79809
ENSP00000232975	7134
ENSP00000225844	6357
ENSP00000225842	6346
ENSP00000225831	6347
ENSP00000256010	4922
ENSP00000194530	55437
ENSP00000244174	3581
ENSP00000078445	84699
ENSP00000249269	9512
ENSP00000257600	1840
ENSP00000257915	7024
ENSP00000262213	23471
ENSP00000261623	1535
ENSP00000235521	10352
ENSP00000261200	10060
ENSP00000249636	8554
ENSP00000254037	84240
ENSP00000219150	11151
ENSP00000242591	28981
ENSP00000260382	54839
ENSP00000259512	79139
ENSP00000222792	1124
ENSP00000261170	2984
ENSP00000261167	51729
ENSP00000227868	8050
ENSP00000228945	397
ENSP00000260662	79172
ENSP00000223167	93408
ENSP00000222567	221830
ENSP00000260600	109
